Digital Humanities Institute - Beirut 2015 crowdsourced English-Arabic wordlist

A language for the digital humanities has never really been articulated by the community.
Help us build a bilingual digital humanities handlist.  Be the first to coin new terms!  I have added some from the titles of the activities from our schedule.
				

English term	المصطلح بالعربية  	avatar	مصطلحة اخرى بالعربية 	Notes & definition of terms
digital humanities	الانسانيات الرقمية 	DJ Organizer
digital pedagogy	النهج التربوي الرقمي or البيداغوجيا الرقمية	Niss
digital storytelling 	سرد الحكياة بالوسائل الالكترونية	دانيال
thematic maps	؟خرائط مواضيعية or موضوعية or محورية	Niss
temporal maps 	الخرائط الزمنية
scholarly production and publication	الانتاج العلمي وتصديره	دانيال
timelines	الخطوط الزمنية ?	Niss
MOOC	المقررات الجماعية الالكترونية المفتوحة	NJ
critical coding	البرمجة التحليلية	MK
digital curation 	التصميم الرقمي	Hana
Data Curation	تصميم المعلومات\ البيانات	Hana
Versioning	حفظ النسخ	Hana
text encoding initiative	مبادرة صياغة النصوص في الرموز الشفرية	دانيال
digitization 	الرقمنة	Niss
to digitize	ترقيم ?	Niss
remediation 	معالجة	زيزيت
new knowledge environments	بيئات معرفة جديدة	Niss
Creative Commons	المشاع الإبداعي	Hana
Data Provenance	إنساب\ أصل \ منشأ البيانات	Hana

sentiment analysis	تحليل الأحاسيس
text alignment	محاذاة النص 	Mona
gamification 	 محاكة اللعب؟	دانيال
	تطبيق مبادئ اللعب على؟ 	دانيال
	ملاعبة	زيزيت
digital corpora	الذخيرة الرقمية ؟	Niss
command line	سطر التعليمات	زيزيت
text processing	معالجة النصوص	Mona
hosting server	الخادم المستضيف	Mona
Georeferencing	الإسناد الجغرافي	Hana
Map Layers	الطبقات الخريطية	Hana
Georectifying	التصحيح الجغرافي	Hana
Spatiotemporal Narrative	السردية الزمانية-المكانية	Hana
Crowd Sourcing	الإسناد الجماعي / التغذية الجماعية	H

Terms from the Omeka Workshop and Neatline: (Created by Instructor Alex Gill and his Students) 
Scope Creep: 				Scope creep is when you keep adding features to a DH project
Rent-A-Server
Meta Data	البيانات الوصفية			(wikipedia)
Hypertexts	النص الفائق أو النص التشعبي 	NJ		wikipedia
Exhibit
Texts
Items				the most important part of Omeka
Collections
Software that lives in a server
Collaborative softwares	برمجيات تعاونية	NJ		wikipedia
Widget				little software that lives inside a bigger software that lives inside a bigger software
Enabled spatial layer
Default spatial layer
Image layer
Annotating a Map
Spatial querying
Stretch Maps
WMS Layers
Google Street Map
Cosmetic tweak
A Slug
SVG (Vectorial Graphic)				an image constructed through mathematical formulas
JPG (Raster Graphic)				An image constructed through pixels
Spatial Data as Well-Known Texts				Geometry with spatial coordinates (in a Google Map in Neatline)
Style Sheet
Default Map focus	الوضع المسبق
Default Map Zoom	الوضع المسبق
Spatial thematic data	بيانات موضوعية مكانية			(wikipedia)
Algorithmic approaches to DH Copora
Architectural Approaches to DH Corpora
Cathedral Philosophy of DH project management
Bazaar Philosophy of DH project Management
UX	سهولة التنقل في مشروع إنساني رقمي			how easy it is easy to navigate a DH project
DH Project Developer	مطور مشروع في الانسانيات الرقمية
DH Project Designer	مشروع في الانسانيات الرقمية
DH Project Manager	مدير مشروع في الانسانيات الرقمية
DH Project Researcher	باحث مشروع في الانسانيات الرقمية
Static Page in HTML	صفحة ويب ثابتة
Dynamic Side in HTML	صفحة الويب الديناميكية
Relative file link	رابط ملف نسبي
Absolute file link	رابط ملف مطلق
Default CSS of the Browser


choropleth	ذات المساحات الممتلئة	Vassili
georectify
georeferencing
annotation
migrating data sets SMA	هجرة مجموعات البيانات SMA
thick map
base map	خريطة اساس
data curation
encoding, markup	ترميز
